subjNumb,,guiltEffect
44,301,-0.437912044
55,302,-1.030099397
59,303,-1.792902678
62,304,-1.175687163
63,305,-1.163778631
65,306,-0.304061792
69,307,0.003008367
70,308,-0.52364122
71,309,-0.76576525
74,310,-0.255451605
77,311,-1.109121314
79,312,-0.618187234
81,313,-0.886208202
83,314,0.501764047
84,315,-0.136008188
87,345,NaN
90,317,0.107412939
92,318,-0.548443327
93,319,-0.700742935
94,320,-0.429415286
95,321,-0.668538992
96,322,0.322567562
98,323,0.254453627
101,324,-1.240548097
102,325,0.971918416
103,326,-0.476225918
104,327,0.604096752
106,328,-0.387493563
110,329,-1.454930935
120,330,-1.20142476
121,346,-0.24967808
124,331,0.396527198
125,332,-0.497848703
126,333,0
129,347,0.300885469
136,334,-1.520174395
155,335,-0.121949969
166,336,0.090710154
171,337,-0.4137948
173,338,-0.490883727
174,339,-1.80365821
175,340,0.131255038
176,348,NaN
177,349,-1.900878701
