trialType,riskyHigh,riskyLow,EVrisky,varRisky,Vsafe,EVriskyMinusVsafe,chooseRisky,choseSafe,SVrisky,SVdiff,subject,condition,EVdiffMC,condMC,EVcond_int_MC
1,75,0,37.5,75,15,22.5,1,0,23.5811270607774,8.58112706077736,1,0,21.4525,-0.5,-10.5915625
3,0,-75,-37.5,75,-15,-22.5,0,1,-141.065997466256,-126.065997466256,1,0,-23.5475,-0.5,11.9084375
3,0,-50,-25,50,-20,-5,1,0,-57.9282279712444,-37.9282279712444,1,0,-6.0475,-0.5,3.1584375
3,0,-18,-9,18,-10,1,1,0,-11.9269488262738,-1.9269488262738,1,0,-0.0475000000000001,-0.5,0.1584375
1,108,0,54,108,30,24,1,0,28.4184736273492,-1.58152637265079,1,0,22.9525,-0.5,-11.3415625
1,32,0,16,32,10,6,0,1,12.9922453079575,2.9922453079575,1,0,4.9525,-0.5,-2.3415625
1,30,0,15,30,15,0,0,1,12.3341921904269,-2.66580780957313,1,0,-1.0475,-0.5,0.6584375
1,22,0,11,22,10,1,1,0,9.51688843103927,-0.483111568960734,1,0,-0.0475000000000001,-0.5,0.1584375
1,27,0,13.5,27,15,-1.5,0,1,11.3131912595384,-3.68680874046161,1,0,-2.5475,-0.5,1.4084375
2,15,-3,6,18,0,6,0,1,5.03155287522408,5.03155287522408,1,0,4.9525,-0.5,-2.3415625
2,40,-31,4.5,71,0,4.5,0,1,-6.49796972965049,-6.49796972965049,1,0,3.4525,-0.5,-1.5915625
3,0,-32,-16,32,-10,-6,0,1,-26.8339856017799,-16.8339856017799,1,0,-7.0475,-0.5,3.6584375
1,46,0,23,46,25,-2,0,1,17.1330828874199,-7.86691711258014,1,0,-3.0475,-0.5,1.6584375
2,75,-67,4,142,0,4,0,1,-44.426049075755,-44.426049075755,1,0,2.9525,-0.5,-1.3415625
3,0,-20,-10,20,-10,0,0,1,-13.6936143499902,-3.69361434999021,1,0,-1.0475,-0.5,0.6584375
2,40,-31,4.5,71,0,4.5,1,0,-6.49796972965049,-6.49796972965049,1,0,3.4525,-0.5,-1.5915625
3,0,-95,-47.5,95,-30,-17.5,0,1,-270.447180140755,-240.447180140755,1,0,-18.5475,-0.5,9.4084375
1,50,0,25,50,25,0,1,0,18.17939182935,-6.82060817064997,1,0,-1.0475,-0.5,0.6584375
2,25,-16,4.5,41,0,4.5,1,0,0.794848451523395,0.794848451523395,1,0,3.4525,-0.5,-1.5915625
3,0,-25,-12.5,25,-15,2.5,0,1,-18.6021447449682,-3.60214474496823,1,0,1.4525,-0.5,-0.5915625
2,25,-5,10,30,0,10,1,0,7.44993235202823,7.44993235202823,1,0,8.9525,-0.5,-4.3415625
2,40,-20,10,60,0,10,1,0,2.219953596658,2.219953596658,1,0,8.9525,-0.5,-4.3415625
1,126,0,63,126,30,33,1,0,30.277743265185,0.277743265185023,1,0,31.9525,-0.5,-15.8415625
2,75,-150,-37.5,225,0,-37.5,0,1,-364.971444042187,-364.971444042187,1,0,-38.5475,-0.5,19.4084375
3,0,-30,-15,30,-15,0,0,1,-24.3034595207989,-9.30345952079893,1,0,-1.0475,-0.5,0.6584375
3,0,-70,-35,70,-25,-10,0,1,-119.128512615358,-94.1285126153584,1,0,-11.0475,-0.5,5.6584375
2,15,-15,0,30,0,0,0,1,-2.0373318075028,-2.0373318075028,1,0,-1.0475,-0.5,0.6584375
1,72,0,36,72,20,16,1,0,23.0249766782194,3.02497667821937,1,0,14.9525,-0.5,-7.3415625
3,0,-27,-13.5,27,-15,1.5,0,1,-20.7807938236748,-5.78079382367478,1,0,0.4525,-0.5,-0.0915624999999999
2,15,-15,0,30,0,0,0,1,-2.0373318075028,-2.0373318075028,1,0,-1.0475,-0.5,0.6584375
1,50,0,25,50,30,-5,0,1,18.17939182935,-11.82060817065,1,0,-6.0475,-0.5,3.1584375
3,0,-17,-8.5,17,-10,1.5,1,0,-11.0825092050945,-1.08250920509452,1,0,0.4525,-0.5,-0.0915624999999999
2,15,-5,5,20,0,5,1,0,3.95683949883157,3.95683949883157,1,0,3.9525,-0.5,-1.8415625
3,0,-42,-21,42,-15,-6,0,1,-42.0312538789249,-27.0312538789249,1,0,-7.0475,-0.5,3.6584375
3,0,-60,-30,60,-30,0,0,1,-83.9807790396025,-53.9807790396025,1,0,-1.0475,-0.5,0.6584375
1,125,0,62.5,125,25,37.5,1,0,30.1858740775072,5.18587407750724,1,0,36.4525,-0.5,-18.0915625
3,0,-50,-25,50,-30,5,0,1,-57.9282279712444,-27.9282279712444,1,0,3.9525,-0.5,-1.8415625
1,74,0,37,74,30,7,0,1,23.3982405698643,-6.60175943013567,1,0,5.9525,-0.5,-2.8415625
2,40,-8,16,48,0,16,0,1,9.95454543097541,9.95454543097541,1,0,14.9525,-0.5,-7.3415625
2,40,-44,-2,84,0,-2,0,1,-19.2933301333501,-19.2933301333501,1,0,-3.0475,-0.5,1.6584375
3,0,-108,-54,108,-30,-24,0,1,-407.10353052727,-377.10353052727,1,0,-25.0475,-0.5,12.6584375
2,25,-9,8,34,0,8,1,0,5.18087797381186,5.18087797381186,1,0,6.9525,-0.5,-3.3415625
3,0,-22,-11,22,-10,-1,0,1,-15.5693159457268,-5.56931594572676,1,0,-2.0475,-0.5,1.1584375
2,55,-19,18,74,0,18,0,1,6.1295280962181,6.1295280962181,1,0,16.9525,-0.5,-8.3415625
3,0,-30,-15,30,-15,0,0,1,-24.3034595207989,-9.30345952079893,1,0,-1.0475,-0.5,0.6584375
3,0,-70,-35,70,-25,-10,0,1,-119.128512615358,-94.1285126153584,1,0,-11.0475,-0.5,5.6584375
3,0,-36,-18,36,-10,-8,0,1,-32.3732183610092,-22.3732183610092,1,0,-9.0475,-0.5,4.6584375
1,63,0,31.5,63,15,16.5,1,0,21.2147674851587,6.21476748515869,1,0,15.4525,-0.5,-7.5915625
2,55,-110,-27.5,165,0,-27.5,0,1,-155.953324338418,-155.953324338418,1,0,-28.5475,-0.5,14.4084375
3,0,-150,-75,150,-30,-45,0,1,-1473.89786499692,-1443.89786499692,1,0,-46.0475,-0.5,23.1584375
3,0,-50,-25,50,-30,5,0,1,-57.9282279712444,-27.9282279712444,1,0,3.9525,-0.5,-1.8415625
3,0,-63,-31.5,63,-20,-11.5,0,1,-93.4437337352458,-73.4437337352458,1,0,-12.5475,-0.5,6.4084375
1,72,0,36,72,20,16,1,0,23.0249766782194,3.02497667821937,1,0,14.9525,-0.5,-7.3415625
2,55,-11,22,66,0,22,1,0,11.3739143098975,11.3739143098975,1,0,20.9525,-0.5,-10.3415625
2,75,-75,0,150,0,0,0,1,-58.7962719817463,-58.7962719817463,1,0,-1.0475,-0.5,0.6584375
3,0,-105,-52.5,105,-25,-27.5,0,1,-370.692030120304,-345.692030120304,1,0,-28.5475,-0.5,14.4084375
3,0,-37,-18.5,37,-15,-3.5,0,1,-33.8648378016066,-18.8648378016066,1,0,-4.5475,-0.5,2.4084375
1,150,0,75,150,30,45,1,0,32.1483761782285,2.1483761782285,1,0,43.9525,-0.5,-21.8415625
1,60,0,30,60,30,0,0,1,20.5608123621133,-9.43918763788671,1,0,-1.0475,-0.5,0.6584375
2,40,-26,7,66,0,7,0,1,-2.32082385130623,-2.32082385130623,1,0,5.9525,-0.5,-2.8415625
2,40,-40,0,80,0,0,1,0,-34.4797477791124,-34.4797477791124,1,1,-1.0475,0.5,-0.3890625
3,0,-63,-31.5,63,-15,-16.5,0,1,-37.1137409572185,-22.1137409572185,1,1,-17.5475,0.5,-8.6390625
1,62,0,31,62,25,6,1,0,216.800643195904,191.800643195904,1,1,4.9525,0.5,2.6109375
1,50,0,25,50,10,15,1,0,113.771240233731,103.771240233731,1,1,13.9525,0.5,7.1109375
2,15,-12,1.5,27,0,1.5,0,1,-1.73344591571982,-1.73344591571982,1,1,0.4525,0.5,0.3609375
1,95,0,47.5,95,30,17.5,1,0,1190.16852355205,1160.16852355205,1,1,16.4525,0.5,8.3609375
2,55,-42,6.5,97,0,6.5,0,1,-37.5497147242146,-37.5497147242146,1,1,5.4525,0.5,2.8609375
3,0,-84,-42,84,-30,-12,0,1,-52.3640200835596,-22.3640200835596,1,1,-13.0475,0.5,-6.3890625
3,0,-67,-33.5,67,-30,-3.5,1,0,-39.894731525892,-9.89473152589201,1,1,-4.5475,0.5,-2.1390625
3,0,-30,-15,30,-15,0,1,0,-16.2012098368941,-1.2012098368941,1,1,-1.0475,0.5,-0.3890625
3,0,-56,-28,56,-25,-3,0,1,-32.3807114826699,-7.38071148266992,1,1,-4.0475,0.5,-1.8890625
3,0,-36,-18,36,-20,2,1,0,-19.7478758476539,0.252124152346116,1,1,0.9525,0.5,0.6109375
2,25,-34,-4.5,59,0,-4.5,1,0,-25.3117395655896,-25.3117395655896,1,1,-5.5475,0.5,-2.6390625
2,25,-25,0,50,0,0,0,1,-12.1335990135888,-12.1335990135888,1,1,-1.0475,0.5,-0.3890625
2,40,-36,2,76,0,2,1,0,-26.5359791300243,-26.5359791300243,1,1,0.9525,0.5,0.6109375
2,75,-83,-4,158,0,-4,0,1,-253.16760547876,-253.16760547876,1,1,-5.0475,0.5,-2.3890625
3,0,-42,-21,42,-10,-11,0,1,-23.4041205451437,-13.4041205451437,1,1,-12.0475,0.5,-5.8890625
1,150,0,75,150,30,45,1,0,19285.7451749443,19255.7451749443,1,1,43.9525,0.5,22.1109375
2,15,-10,2.5,25,0,2.5,0,1,-0.2427854676202,-0.2427854676202,1,1,1.4525,0.5,0.8609375
3,0,-42,-21,42,-15,-6,0,1,-23.4041205451437,-8.40412054514373,1,1,-7.0475,0.5,-3.3890625
2,15,-30,-7.5,45,0,-7.5,0,1,-21.3554436500106,-21.3554436500106,1,1,-8.5475,0.5,-4.1390625
2,75,-48,13.5,123,0,13.5,0,1,-51.9592432023751,-51.9592432023751,1,1,12.4525,0.5,6.3609375
3,0,-33,-16.5,33,-15,-1.5,0,1,-17.9610531049786,-2.96105310497861,1,1,-2.5475,0.5,-1.1390625
1,63,0,31.5,63,15,16.5,1,0,228.543076718037,213.543076718037,1,1,15.4525,0.5,7.8609375
3,0,-37,-18.5,37,-15,-3.5,0,1,-20.3495501740802,-5.34955017408017,1,1,-4.5475,0.5,-2.1390625
2,40,-14,13,54,0,13,1,0,1.4333229869152,1.4333229869152,1,1,11.9525,0.5,6.1109375
3,0,-84,-42,84,-30,-12,0,1,-52.3640200835596,-22.3640200835596,1,1,-13.0475,0.5,-6.3890625
1,50,0,25,50,10,15,1,0,113.771240233731,103.771240233731,1,1,13.9525,0.5,7.1109375
3,0,-25,-12.5,25,-15,2.5,0,1,-13.3269884705413,1.67301152945867,1,1,1.4525,0.5,0.8609375
2,75,-58,8.5,133,0,8.5,1,0,-86.3355849459125,-86.3355849459125,1,1,7.4525,0.5,3.8609375
3,0,-54,-27,54,-15,-12,0,1,-31.0589928846236,-16.0589928846236,1,1,-13.0475,0.5,-6.3890625
1,20,0,10,20,10,0,1,0,17.2831783665041,7.28317836650413,1,1,-1.0475,0.5,-0.3890625
3,0,-20,-10,20,-10,0,0,1,-10.5247328668832,-0.524732866883161,1,1,-1.0475,0.5,-0.3890625
3,0,-50,-25,50,-25,0,0,1,-28.4554358182641,-3.45543581826408,1,1,-1.0475,0.5,-0.3890625
2,55,-28,13.5,83,0,13.5,1,0,-12.3665028294672,-12.3665028294672,1,1,12.4525,0.5,6.3609375
1,20,0,10,20,10,0,1,0,17.2831783665041,7.28317836650413,1,1,-1.0475,0.5,-0.3890625
2,40,-20,10,60,0,10,1,0,-4.13571006745421,-4.13571006745421,1,1,8.9525,0.5,4.6109375
1,25,0,12.5,25,10,2.5,1,0,25.0915452199254,15.0915452199254,1,1,1.4525,0.5,0.8609375
1,36,0,18,36,10,8,1,0,51.084426420551,41.084426420551,1,1,6.9525,0.5,3.6109375
1,33,0,16.5,33,15,1.5,1,0,42.5109674157635,27.5109674157635,1,1,0.4525,0.5,0.3609375
3,0,-18,-9,18,-10,1,1,0,-9.4235758842758,0.576424115724196,1,1,-0.0475000000000001,0.5,0.1109375
