Behav - LMM happiness on conditions
 , Model 1, Model 2, Model 3, Model 4
(Intercept) , 0.03 , 0.09**, -0.06*, 0.06 
            , (0.04), (0.03), (0.03), (0.05)
cond , -0.01 , , , 
            , (0.02), , , 
subjDecided_1 , , -0.14***, , -0.12**
            , , (0.03), , (0.04)
socialTrial_1 , , , 0.09*, 0.03 
            , , , (0.03), (0.04)
R2 (ord) , 0.000, 0.004, 0.002, 0.004
R2 (adj) , -0.000, 0.004, 0.002, 0.004
AIC , 10102, 10087, 10096, 10088
BIC , 10127, 10112, 10121, 10119
LogLikelihood , -5047, -5039, -5044, -5039
N , 3600, 3600, 3600, 3600
