Choices
 , Study 1 probit, Study 1 linear, Study 2 probit, Study 2 linear
(Intercept) , 0.12 , 0.53***, -0.04 , 0.49***
            , (0.10), (0.03), (0.07), (0.02)
EVdiffMC , 0.07***, 0.02***, 0.09***, 0.02***
            , (0.01), (0.00), (0.01), (0.00)
condMC , 0.16*, 0.03^, 0.01 , 0.01 
            , (0.06), (0.02), (0.06), (0.02)
EVdiffMC:condMC , -0.00 , -0.00 , -0.00 , 0.00 
            , (0.00), (0.00), (0.01), (0.00)
R2 (ord) , 1.000, 0.313, 1.000, 0.306
R2 (adj) , 1.000, 0.312, 1.000, 0.305
AIC , 4838, 5355, 3864, 4313
BIC , 4903, 5426, 3927, 4382
LogLikelihood , -2409, -2666, -1922, -2146
N , 4800, 4800, 3833, 3833
