trialType,riskyHigh,riskyLow,EVrisky,varRisky,Vsafe,EVriskyMinusVsafe,chooseRisky,choseSafe,SVrisky,SVdiff,subject,condition,EVdiffMC,condMC,EVcond_int_MC
2,40,-80,-20,120,0,-20,1,0,-9.98971348449799,-9.98971348449799,1,0,-20.787218901224,-0.500426985482494,10.3584860964144
1,126,0,63,126,30,33,1,0,35.8172986750115,5.81729867501147,1,0,32.212781098776,-0.500426985482494,-16.1641441341578
2,25,-28,-1.5,53,0,-1.5,1,0,0.424884271229956,0.424884271229956,1,0,-2.28721890122402,-0.500426985482494,1.10058686498824
2,15,-20,-2.5,35,0,-2.5,1,0,-1.65156284221957,-1.65156284221957,1,0,-3.28721890122402,-0.500426985482494,1.60101385047073
2,15,-15,0,30,0,0,1,0,0.61910102689646,0.61910102689646,1,0,-0.787218901224025,-0.500426985482494,0.349946386764496
1,56,0,28,56,25,3,0,1,21.4395468075592,-3.56045319244075,1,0,2.21278109877598,-0.500426985482494,-1.15133456968299
1,54,0,27,54,15,12,1,0,20.8625873813005,5.86258738130051,1,0,11.212781098776,-0.500426985482494,-5.65517743902543
1,40,0,20,40,20,0,0,1,16.483997698218,-3.51600230178196,1,0,-0.787218901224025,-0.500426985482494,0.349946386764496
1,63,0,31.5,63,20,11.5,1,0,23.3704099496551,3.37040994965514,1,0,10.712781098776,-0.500426985482494,-5.40496394628418
1,126,0,63,126,30,33,1,0,35.8172986750115,5.81729867501147,1,0,32.212781098776,-0.500426985482494,-16.1641441341578
1,32,0,16,32,10,6,0,1,13.6925481463155,3.69254814631546,1,0,5.21278109877597,-0.500426985482494,-2.65261552613047
2,75,-67,4,142,0,4,1,0,18.3964319914354,18.3964319914354,1,0,3.21278109877598,-0.500426985482494,-1.65176155516548
3,0,-46,-23,46,-25,2,0,1,-180.531707756656,-155.531707756656,1,0,1.21278109877598,-0.500426985482494,-0.650907584200492
1,72,0,36,72,20,16,0,1,25.6623872020014,5.66238720200141,1,0,15.212781098776,-0.500426985482494,-7.6568853809554
1,56,0,28,56,25,3,1,0,21.4395468075592,-3.56045319244075,1,0,2.21278109877598,-0.500426985482494,-1.15133456968299
2,40,-54,-7,94,0,-7,0,1,-0.989023368243579,-0.989023368243579,1,0,-7.78721890122403,-0.500426985482494,3.85293528514195
1,27,0,13.5,27,15,-1.5,1,0,11.8310252831573,-3.16897471684266,1,0,-2.28721890122402,-0.500426985482494,1.10058686498824
3,0,-25,-12.5,25,-10,-2.5,0,1,-34.7866960606177,-24.7866960606177,1,0,-3.28721890122402,-0.500426985482494,1.60101385047073
1,75,0,37.5,75,15,22.5,1,0,26.3816723629493,11.3816723629493,1,0,21.712781098776,-0.500426985482494,-10.9096607865916
1,50,0,25,50,30,-5,0,1,19.6734670143683,-10.3265329856317,1,0,-5.78721890122403,-0.500426985482494,2.85208131417696
3,0,-32,-16,32,-10,-6,0,1,-61.924528269414,-51.924528269414,1,0,-6.78721890122403,-0.500426985482494,3.35250829965946
3,0,-70,-35,70,-25,-10,0,1,-1036.06351859013,-1011.06351859013,1,0,-10.787218901224,-0.500426985482494,5.35421624158943
2,15,-20,-2.5,35,0,-2.5,0,1,-1.65156284221957,-1.65156284221957,1,0,-3.28721890122402,-0.500426985482494,1.60101385047073
1,20,0,10,20,10,0,1,0,9.06346234610091,-0.936537653899091,1,0,-0.787218901224025,-0.500426985482494,0.349946386764496
3,0,-37,-18.5,37,-15,-3.5,0,1,-91.5418780866437,-76.5418780866437,1,0,-4.28721890122403,-0.500426985482494,2.10144083595322
2,40,-40,0,80,0,0,1,0,4.41777532271448,4.41777532271448,1,0,-0.787218901224025,-0.500426985482494,0.349946386764496
1,50,0,25,50,10,15,1,0,19.6734670143683,9.67346701436832,1,0,14.212781098776,-0.500426985482494,-7.15645839547291
3,0,-44,-22,44,-20,-2,0,1,-155.544802534729,-135.544802534729,1,0,-2.78721890122402,-0.500426985482494,1.35080035772948
2,40,-36,2,76,0,2,1,0,6.0405985204738,6.0405985204738,1,0,1.21278109877598,-0.500426985482494,-0.650907584200492
2,15,-20,-2.5,35,0,-2.5,0,1,-1.65156284221957,-1.65156284221957,1,0,-3.28721890122402,-0.500426985482494,1.60101385047073
2,55,-35,10,90,0,10,1,0,16.1938176931614,16.1938176931614,1,0,9.21278109877598,-0.500426985482494,-4.65432346806044
3,0,-22,-11,22,-10,-1,0,1,-26.7209076218149,-16.7209076218149,1,0,-1.78721890122402,-0.500426985482494,0.850373372246989
