fMRI - LMM happiness on conditions
 , Model 1, Model 2, Model 3, Model 4
(Intercept) , -0.01 , 0.16***, -0.07*, 0.17**
            , (0.05), (0.03), (0.03), (0.05)
cond , 0.00 , , , 
            , (0.02), , , 
subjDecided_1 , , -0.24***, , -0.24***
            , , (0.04), , (0.04)
socialTrial_1 , , , 0.11**, -0.01 
            , , , (0.04), (0.04)
R2 (ord) , 0.000, 0.013, 0.003, 0.013
R2 (adj) , -0.000, 0.012, 0.002, 0.012
AIC , 8061, 8024, 8053, 8026
BIC , 8085, 8048, 8077, 8056
LogLikelihood , -4026, -4008, -4022, -4008
N , 2872, 2872, 2872, 2872
